"sourceRow","originalAccount","normalizedAccount","field","originalValue","normalizedValue","reasonCode","reasonDescription","suggestedAction","severity"
"1470","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1471","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1472","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1473","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1474","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1475","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1476","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1477","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1478","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1479","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1480","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1481","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1482","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1483","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1484","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1485","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1486","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1487","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1488","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1489","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
